index;mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_criterion;params;split0_test_accuracy;split1_test_accuracy;split2_test_accuracy;split3_test_accuracy;split4_test_accuracy;mean_test_accuracy;std_test_accuracy;rank_test_accuracy;split0_test_balanced_accuracy;split1_test_balanced_accuracy;split2_test_balanced_accuracy;split3_test_balanced_accuracy;split4_test_balanced_accuracy;mean_test_balanced_accuracy;std_test_balanced_accuracy;rank_test_balanced_accuracy;split0_test_macro-precision;split1_test_macro-precision;split2_test_macro-precision;split3_test_macro-precision;split4_test_macro-precision;mean_test_macro-precision;std_test_macro-precision;rank_test_macro-precision;split0_test_macro-recall;split1_test_macro-recall;split2_test_macro-recall;split3_test_macro-recall;split4_test_macro-recall;mean_test_macro-recall;std_test_macro-recall;rank_test_macro-recall;split0_test_macro-f1_score;split1_test_macro-f1_score;split2_test_macro-f1_score;split3_test_macro-f1_score;split4_test_macro-f1_score;mean_test_macro-f1_score;std_test_macro-f1_score;rank_test_macro-f1_score;split0_test_weighted-precision;split1_test_weighted-precision;split2_test_weighted-precision;split3_test_weighted-precision;split4_test_weighted-precision;mean_test_weighted-precision;std_test_weighted-precision;rank_test_weighted-precision;split0_test_weighted-recall;split1_test_weighted-recall;split2_test_weighted-recall;split3_test_weighted-recall;split4_test_weighted-recall;mean_test_weighted-recall;std_test_weighted-recall;rank_test_weighted-recall;split0_test_weighted-f1_score;split1_test_weighted-f1_score;split2_test_weighted-f1_score;split3_test_weighted-f1_score;split4_test_weighted-f1_score;mean_test_weighted-f1_score;std_test_weighted-f1_score;rank_test_weighted-f1_score
0;6.855078220367432;0.21757442024382598;0.10199341773986817;0.0017757463890485789;gini;{'criterion': 'gini'};0.9961358157789542;0.9956028248519133;0.9962690635107143;0.9961237023487941;0.9962811769408744;0.99608251668625;0.00024855861381039115;2;0.9965073354527523;0.9960497365915666;0.996508056672134;0.9968303638245178;0.9961617154927194;0.996411441606738;0.0002782874683263571;2;0.9961615891613977;0.9959331374325716;0.9965803401119272;0.9967713188607676;0.9964579526605324;0.9963808676454393;0.0002989076489714351;2;0.9965073354527523;0.9960497365915666;0.996508056672134;0.9968303638245178;0.9961617154927194;0.996411441606738;0.0002782874683263571;2;0.9963342121374208;0.99599050553099;0.9965427176226683;0.9968005705735384;0.9963086484340528;0.9963953308597342;0.00026872847689235745;2;0.9961353766704422;0.9956035080391831;0.9962686888138368;0.9961236596029104;0.996281880352352;0.9960826226957449;0.0002483312617238355;2;0.9961358157789542;0.9956028248519133;0.9962690635107143;0.9961237023487941;0.9962811769408744;0.99608251668625;0.00024855861381039115;2;0.9961355098347953;0.9956030571415343;0.9962686351202641;0.9961236582578068;0.9962813840232485;0.9960824488755298;0.0002484232774661657;2
1;6.292192506790161;0.07430375539073253;0.11441240310668946;0.005768261511084894;entropy;{'criterion': 'entropy'};0.996087362058314;0.9962206097900742;0.9965961261250348;0.9961479292091141;0.9966203529853549;0.9963344760335785;0.0002276035842488316;1;0.9971538329994063;0.9968248143589264;0.9970160478278134;0.9968165285164938;0.9975857517936506;0.9970793950992581;0.00028279362560568844;1;0.9956232679342879;0.9965506880460921;0.9965091970245069;0.9965921149243556;0.9969739164613539;0.9964498368781193;0.00044537922178103216;1;0.9971538329994063;0.9968248143589264;0.9970160478278134;0.9968165285164938;0.9975857517936506;0.9970793950992581;0.00028279362560568844;1;0.9963869738711578;0.9966869929063945;0.9967616154490916;0.9967038735997062;0.9972795393707514;0.9967637990394204;0.0002889568498096567;1;0.9960875526494661;0.9962207344685721;0.9965958917841815;0.9961476134897908;0.9966202136599925;0.9963344012104006;0.00022751266748116105;1;0.996087362058314;0.9962206097900742;0.9965961261250348;0.9961479292091141;0.9966203529853549;0.9963344760335785;0.0002276035842488316;1;0.9960873623165643;0.9962205980223489;0.9965958992110882;0.996147707285839;0.9966202510766029;0.9963343635824886;0.0002275633298398487;1

 
;precision;recall;f1-score;support
0.0;0.9973;0.9974;0.9973;61851.0
1.0;0.9967;0.9983;0.9975;1200.0
2.0;0.9947;0.9971;0.9959;2074.0
3.0;0.9975;0.9975;0.9975;1205.0
4.0;0.9957;0.9953;0.9955;36862.0
macro avg;0.9964;0.9971;0.9967;103192.0
weighted avg;0.9967;0.9967;0.9967;103192.0

 
ccp_alpha;class_weight;criterion;max_depth;max_features;max_leaf_nodes;min_impurity_decrease;min_samples_leaf;min_samples_split;min_weight_fraction_leaf;random_state;splitter
0.0;;entropy;;;;0.0;1;2;0.0;;best
