index;Number of nodes:;Depth of the tree:;Number of features:;Accuracy
0;2939.0;37.0;7.0;0.9965404294906582
1;2947.0;36.0;7.0;0.9963078533219629
2;2927.0;37.0;7.0;0.9963950693852237
3;3049.0;36.0;7.0;0.9966373362276145
4;2943.0;34.0;7.0;0.9963272346693542
5;2931.0;35.0;7.0;0.9962593999534848
6;2937.0;39.0;7.0;0.9962400186060935
7;3019.0;34.0;7.0;0.9964435227537018
8;2951.0;35.0;7.0;0.9964435227537018
9;2945.0;34.0;7.0;0.9963078533219629
10;2981.0;36.0;7.0;0.9963563066904412
11;2949.0;39.0;7.0;0.9962109465850066
12;2963.0;30.0;7.0;0.9962981626482673
13;2983.0;34.0;7.0;0.996172183890224
14;2941.0;33.0;7.0;0.9964047600589193
15;2949.0;34.0;7.0;0.9962400186060935
16;2993.0;35.0;7.0;0.9960849678269633
17;3039.0;37.0;7.0;0.996172183890224
18;3013.0;34.0;7.0;0.9962593999534848
19;2907.0;30.0;7.0;0.9963659973641368
20;2993.0;35.0;7.0;0.9963563066904412
21;3009.0;33.0;7.0;0.9964047600589193
22;2907.0;35.0;7.0;0.9960171331110939
23;2983.0;40.0;7.0;0.9965210481432669
24;2983.0;36.0;7.0;0.9961431118691372
25;2913.0;32.0;7.0;0.9963563066904412
26;2903.0;38.0;7.0;0.9962303279323979
27;2965.0;36.0;7.0;0.9966276455539189
28;2983.0;35.0;7.0;0.9962884719745717
29;2975.0;38.0;7.0;0.9962497092797892
30;2909.0;42.0;7.0;0.996278781300876
31;3003.0;35.0;7.0;0.996385378711528
32;2949.0;33.0;7.0;0.9962497092797892
33;2901.0;35.0;7.0;0.9960946585006589
34;2897.0;34.0;7.0;0.996598573532832
35;3013.0;33.0;7.0;0.9965695015117451
36;2937.0;36.0;7.0;0.9963563066904412
37;2991.0;35.0;7.0;0.9962981626482673
38;2903.0;33.0;7.0;0.9963272346693542
39;3019.0;38.0;7.0;0.9963563066904412
40;2907.0;35.0;7.0;0.9962981626482673
41;2933.0;38.0;7.0;0.9962206372587022
42;2943.0;34.0;7.0;0.9963756880378324
43;2969.0;35.0;7.0;0.9963369253430499
44;2933.0;37.0;7.0;0.9961237305217459
45;2937.0;35.0;7.0;0.9963369253430499
46;2995.0;37.0;7.0;0.9962690906271804
47;2977.0;39.0;7.0;0.9962981626482673
48;2963.0;33.0;7.0;0.9963563066904412
49;2937.0;38.0;7.0;0.9961528025428328
50;2937.0;34.0;7.0;0.9959105357004419
51;2965.0;38.0;7.0;0.9962400186060935
52;2929.0;31.0;7.0;0.996278781300876
53;2963.0;32.0;7.0;0.9966760989223971
54;2979.0;37.0;7.0;0.9963466160167455
55;2943.0;35.0;7.0;0.996385378711528
56;2989.0;37.0;7.0;0.9961431118691372
57;2951.0;33.0;7.0;0.9965791921854408
58;3027.0;33.0;7.0;0.9962303279323979
59;3005.0;39.0;7.0;0.9960074424373982
60;2987.0;39.0;7.0;0.9964725947747888
61;2839.0;36.0;7.0;0.9962400186060935
62;2971.0;38.0;7.0;0.9965598108380495
63;2837.0;34.0;7.0;0.9959783704163113
64;2979.0;31.0;7.0;0.9964435227537018
65;2955.0;37.0;7.0;0.9962884719745717
66;3017.0;35.0;7.0;0.9965695015117451
67;2953.0;35.0;7.0;0.9962303279323979
68;2961.0;34.0;7.0;0.9960655864795721
69;2899.0;34.0;7.0;0.9962884719745717
70;2929.0;33.0;7.0;0.9963756880378324
71;2957.0;36.0;7.0;0.9963175439956585
72;2975.0;34.0;7.0;0.996278781300876
73;2957.0;35.0;7.0;0.9964725947747888
74;2997.0;36.0;7.0;0.9962593999534848
75;2985.0;36.0;7.0;0.9960171331110939
76;2983.0;36.0;7.0;0.9962303279323979
77;2953.0;35.0;7.0;0.9961334211954415
78;2929.0;32.0;7.0;0.9961043491743546
79;2987.0;34.0;7.0;0.996172183890224
80;3013.0;37.0;7.0;0.9963078533219629
81;3025.0;33.0;7.0;0.996278781300876
82;3011.0;36.0;7.0;0.9963756880378324
83;2907.0;34.0;7.0;0.9961237305217459
84;2957.0;38.0;7.0;0.9959783704163113
85;2921.0;35.0;7.0;0.9961431118691372
86;2987.0;37.0;7.0;0.9963466160167455
87;2987.0;38.0;7.0;0.9965307388169625
88;2941.0;33.0;7.0;0.9963175439956585
89;2927.0;34.0;7.0;0.9961237305217459
90;2879.0;36.0;7.0;0.9956488875106597
91;2997.0;33.0;7.0;0.9963756880378324
92;2923.0;32.0;7.0;0.9963369253430499
93;2975.0;40.0;7.0;0.9963272346693542
94;3001.0;34.0;7.0;0.9962593999534848
95;2959.0;35.0;7.0;0.9961140398480502
96;3029.0;37.0;7.0;0.9962206372587022
97;2923.0;32.0;7.0;0.9962206372587022
98;2939.0;33.0;7.0;0.9958330103108768
99;2925.0;36.0;7.0;0.9959589890689201
Max;3049.0;42.0;7.0;0.9966760989223971

 
ccp_alpha;class_weight;criterion;max_depth;max_features;max_leaf_nodes;min_impurity_decrease;min_samples_leaf;min_samples_split;min_weight_fraction_leaf;random_state;splitter
0.0;;gini;;;;0.0;1;2;0.0;;best
