index;mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_criterion;params;split0_test_accuracy;split1_test_accuracy;split2_test_accuracy;split3_test_accuracy;split4_test_accuracy;mean_test_accuracy;std_test_accuracy;rank_test_accuracy;split0_test_balanced_accuracy;split1_test_balanced_accuracy;split2_test_balanced_accuracy;split3_test_balanced_accuracy;split4_test_balanced_accuracy;mean_test_balanced_accuracy;std_test_balanced_accuracy;rank_test_balanced_accuracy;split0_test_macro-precision;split1_test_macro-precision;split2_test_macro-precision;split3_test_macro-precision;split4_test_macro-precision;mean_test_macro-precision;std_test_macro-precision;rank_test_macro-precision;split0_test_macro-recall;split1_test_macro-recall;split2_test_macro-recall;split3_test_macro-recall;split4_test_macro-recall;mean_test_macro-recall;std_test_macro-recall;rank_test_macro-recall;split0_test_macro-f1_score;split1_test_macro-f1_score;split2_test_macro-f1_score;split3_test_macro-f1_score;split4_test_macro-f1_score;mean_test_macro-f1_score;std_test_macro-f1_score;rank_test_macro-f1_score;split0_test_weighted-precision;split1_test_weighted-precision;split2_test_weighted-precision;split3_test_weighted-precision;split4_test_weighted-precision;mean_test_weighted-precision;std_test_weighted-precision;rank_test_weighted-precision;split0_test_weighted-recall;split1_test_weighted-recall;split2_test_weighted-recall;split3_test_weighted-recall;split4_test_weighted-recall;mean_test_weighted-recall;std_test_weighted-recall;rank_test_weighted-recall;split0_test_weighted-f1_score;split1_test_weighted-f1_score;split2_test_weighted-f1_score;split3_test_weighted-f1_score;split4_test_weighted-f1_score;mean_test_weighted-f1_score;std_test_weighted-f1_score;rank_test_weighted-f1_score
0;2.4013884544372557;0.11468189271572295;0.053074073791503903;0.0037278423658847473;gini;{'criterion': 'gini'};0.9995854063018242;0.9997738537210485;0.9995853984885891;0.9995853984885891;0.9998680813372783;0.9996796276674658;0.00011918831896332422;2;0.9979599763685418;0.9985902629783509;0.9969394116998511;0.9970458934766052;0.9992723461278794;0.9979615781302457;0.0008940539741913264;2;0.9963660643029808;0.9988109771719169;0.9979224395311516;0.9974129454526472;0.99901833111262;0.9979061515142632;0.0009665442635300179;2;0.9979599763685418;0.9985902629783509;0.9969394116998511;0.9970458934766052;0.9992723461278794;0.9979615781302457;0.0008940539741913264;2;0.9971615816578842;0.9987002578999459;0.9974299579297558;0.9972280436286272;0.9991452714440334;0.9979330225120492;0.0008250318545416069;2;0.9995863317489959;0.9997739504052249;0.999585558144897;0.9995854353949178;0.9998681001045595;0.999679875159719;0.00011903253322309673;2;0.9995854063018242;0.9997738537210485;0.9995853984885891;0.9995853984885891;0.9998680813372783;0.9996796276674658;0.00011918831896332422;2;0.9995857399513995;0.999773871107026;0.9995854025109373;0.9995853160136837;0.9998680857459751;0.9996796830658043;0.00011915219620362068;2
1;1.830560827255249;0.18745700630840648;0.059723424911499026;0.004909066112639136;entropy;{'criterion': 'entropy'};0.9997550128147144;0.9997926992442945;0.9997926992442945;0.9996230895350809;0.9999246179070161;0.9997776237490801;9.638869355736026e-05;1;0.9981509983331611;0.998414301605778;0.998232840595376;0.9978580080943074;0.9996885085296974;0.9984689314316639;0.0006356729313339726;1;0.9983317363346854;0.9993965093913031;0.9984170138757766;0.9978239851263999;0.9994344936165529;0.9986807476689435;0.0006333804979847888;1;0.9981509983331611;0.998414301605778;0.998232840595376;0.9978580080943074;0.9996885085296974;0.9984689314316639;0.0006356729313339726;1;0.9982410957701756;0.9989047694607801;0.9983242273530655;0.9978405681636751;0.9995614338969083;0.9985744189289211;0.0005992607311292379;1;0.999754919366264;0.9997925839819439;0.9997929568723221;0.9996232315561615;0.9999246370551765;0.9997776657663737;9.635793149616979e-05;1;0.9997550128147144;0.9997926992442945;0.9997926992442945;0.9996230895350809;0.9999246179070161;0.9997776237490801;9.638869355736026e-05;1;0.999754935310311;0.9997925623001239;0.9997927582550711;0.9996231246692798;0.9999246225061504;0.9997776006081873;9.638005643753245e-05;1

 
;precision;recall;f1-score;support
0.0;0.9999;1.0;0.9999;61851.0
1.0;1.0;0.9983;0.9992;1200.0
2.0;0.9976;0.9947;0.9961;2074.0
3.0;0.9975;0.9992;0.9983;1205.0
macro avg;0.9987;0.998;0.9984;66330.0
weighted avg;0.9997;0.9997;0.9997;66330.0

 
ccp_alpha;class_weight;criterion;max_depth;max_features;max_leaf_nodes;min_impurity_decrease;min_samples_leaf;min_samples_split;min_weight_fraction_leaf;random_state;splitter
0.0;;entropy;;;;0.0;1;2;0.0;;best
