index;Number of nodes:;Depth of the tree:;Number of features:;Accuracy
0;177.0;16.0;7.0;0.9997587818483341
1;197.0;17.0;7.0;0.9998341625207297
2;173.0;16.0;7.0;0.9997889341172923
3;223.0;18.0;7.0;0.999864314789688
4;173.0;15.0;7.0;0.9997889341172923
5;195.0;18.0;7.0;0.9997889341172923
6;179.0;17.0;7.0;0.9997135534448968
7;185.0;18.0;7.0;0.9997286295793758
8;203.0;18.0;7.0;0.9998492386552088
9;189.0;16.0;7.0;0.9998190863862506
10;181.0;17.0;7.0;0.9998341625207297
11;181.0;16.0;7.0;0.9997889341172923
12;191.0;17.0;7.0;0.9997738579828132
13;185.0;15.0;7.0;0.9996834011759385
14;215.0;18.0;7.0;0.999743705713855
15;191.0;18.0;7.0;0.9998341625207297
16;197.0;19.0;7.0;0.9995175636966682
17;201.0;20.0;7.0;0.9997286295793758
18;191.0;19.0;7.0;0.9998341625207297
19;179.0;15.0;7.0;0.999743705713855
20;187.0;17.0;7.0;0.999743705713855
21;183.0;16.0;7.0;0.9996080205035429
22;181.0;16.0;7.0;0.999743705713855
23;183.0;18.0;7.0;0.9996834011759385
24;181.0;19.0;7.0;0.999864314789688
25;181.0;17.0;7.0;0.9997587818483341
26;205.0;18.0;7.0;0.9998341625207297
27;193.0;17.0;7.0;0.9997135534448968
28;209.0;19.0;7.0;0.9997286295793758
29;187.0;20.0;7.0;0.9998040102517715
30;183.0;14.0;7.0;0.9997738579828132
31;205.0;21.0;7.0;0.9996381727725011
32;195.0;19.0;7.0;0.9996984773104176
33;191.0;18.0;7.0;0.9997587818483341
34;181.0;18.0;7.0;0.999864314789688
35;187.0;19.0;7.0;0.9996683250414594
36;191.0;18.0;7.0;0.9998492386552088
37;195.0;17.0;7.0;0.9997286295793758
38;201.0;17.0;7.0;0.9998341625207297
39;181.0;16.0;7.0;0.9997889341172923
40;197.0;17.0;7.0;0.9996683250414594
41;207.0;21.0;7.0;0.9997135534448968
42;195.0;19.0;7.0;0.9996834011759385
43;181.0;17.0;7.0;0.9998492386552088
44;189.0;15.0;7.0;0.9995175636966682
45;219.0;17.0;7.0;0.9996984773104176
46;205.0;20.0;7.0;0.9997587818483341
47;185.0;15.0;7.0;0.9997587818483341
48;211.0;20.0;7.0;0.9996984773104176
49;197.0;17.0;7.0;0.9997889341172923
50;185.0;19.0;7.0;0.9997738579828132
51;215.0;18.0;7.0;0.9998341625207297
52;193.0;18.0;7.0;0.9997286295793758
53;187.0;19.0;7.0;0.999879390924167
54;211.0;17.0;7.0;0.9996834011759385
55;187.0;19.0;7.0;0.999743705713855
56;213.0;20.0;7.0;0.9996683250414594
57;169.0;19.0;7.0;0.9996984773104176
58;201.0;19.0;7.0;0.9996984773104176
59;181.0;15.0;7.0;0.9997286295793758
60;185.0;17.0;7.0;0.9997286295793758
61;181.0;16.0;7.0;0.9998190863862506
62;205.0;20.0;7.0;0.9997738579828132
63;217.0;21.0;7.0;0.9997286295793758
64;183.0;16.0;7.0;0.9997135534448968
65;203.0;20.0;7.0;0.9997587818483341
66;193.0;19.0;7.0;0.999743705713855
67;173.0;17.0;7.0;0.9996984773104176
68;215.0;21.0;7.0;0.9997286295793758
69;209.0;18.0;7.0;0.9998492386552088
70;211.0;17.0;7.0;0.9997738579828132
71;185.0;16.0;7.0;0.9997738579828132
72;169.0;15.0;7.0;0.9998190863862506
73;183.0;19.0;7.0;0.9997286295793758
74;183.0;16.0;7.0;0.9996984773104176
75;189.0;17.0;7.0;0.9998341625207297
76;201.0;17.0;7.0;0.9997587818483341
77;189.0;18.0;7.0;0.9998040102517715
78;183.0;17.0;7.0;0.9998492386552088
79;191.0;19.0;7.0;0.9998040102517715
80;163.0;16.0;7.0;0.9997889341172923
81;199.0;20.0;7.0;0.9996532489069803
82;181.0;16.0;7.0;0.9998190863862506
83;191.0;15.0;7.0;0.9997587818483341
84;189.0;18.0;7.0;0.9997738579828132
85;199.0;16.0;7.0;0.999743705713855
86;189.0;19.0;7.0;0.999743705713855
87;211.0;17.0;7.0;0.9996080205035429
88;189.0;20.0;7.0;0.999743705713855
89;185.0;15.0;7.0;0.9997738579828132
90;203.0;18.0;7.0;0.9997889341172923
91;179.0;17.0;7.0;0.9997587818483341
92;201.0;16.0;7.0;0.999743705713855
93;183.0;19.0;7.0;0.9997286295793758
94;221.0;17.0;7.0;0.9996683250414594
95;201.0;18.0;7.0;0.9998040102517715
96;209.0;19.0;7.0;0.9997135534448968
97;189.0;16.0;7.0;0.9997889341172923
98;189.0;17.0;7.0;0.9997738579828132
99;195.0;18.0;7.0;0.999864314789688
Max;223.0;21.0;7.0;0.999879390924167

 
ccp_alpha;class_weight;criterion;max_depth;max_features;max_leaf_nodes;min_impurity_decrease;min_samples_leaf;min_samples_split;min_weight_fraction_leaf;random_state;splitter
0.0;;gini;;;;0.0;1;2;0.0;;best
