index;list_index;combination;avg_accuracy;t_statistics;p_value;significant 5%
0;0;('acc_LR_A', 'acc_DT_A');(0.8468369641057444, 0.995881463679355);-1256.8608812649843;0.0;yes
1;1;('acc_LR_A', 'acc_RF_A');(0.8468369641057444, 0.9972476548569658);-1322.1276675749195;0.0;yes
2;2;('acc_LR_A', 'acc_SVM_A');(0.8468369641057444, 0.9982962826575702);-1324.2808777754708;0.0;yes
3;3;('acc_LR_A', 'acc_NN_A');(0.8468369641057444, 0.9881765059306923);-230.44529016536632;1.4971790563166024e-242;yes
4;4;('acc_DT_A', 'acc_RF_A');(0.995881463679355, 0.9972476548569658);-34.48341536474962;1.2222028389190381e-85;yes
5;5;('acc_DT_A', 'acc_SVM_A');(0.995881463679355, 0.9982962826575702);-58.42897405994811;8.291966952802965e-127;yes
6;6;('acc_DT_A', 'acc_NN_A');(0.995881463679355, 0.9881765059306923);12.756764220674542;1.3536902418396327e-27;yes
7;7;('acc_RF_A', 'acc_SVM_A');(0.9972476548569658, 0.9982962826575702);-43.24336159923553;8.04040273979973e-103;yes
8;8;('acc_RF_A', 'acc_NN_A');(0.9972476548569658, 0.9881765059306923);15.0418169557536;1.3254069066661309e-34;yes
9;9;('acc_SVM_A', 'acc_NN_A');(0.9982962826575702, 0.9881765059306923);16.777462785664216;6.926083484646611e-40;yes
