index;list_index;combination;avg_accuracy;t_statistics;p_value;significant 5%
0;0;('acc_LR_B', 'acc_DT_B');(0.9996449570330168, 0.9997764209256746);-13.17791021567582;6.943360389839522e-29;yes
1;1;('acc_LR_B', 'acc_RF_B');(0.9996449570330168, 0.9998489371325191);-22.45346983482253;2.494189664641597e-56;yes
2;2;('acc_LR_B', 'acc_SVM_B');(0.9996449570330168, 0.9998518015980703);-23.299342338899578;1.2184497990047785e-58;yes
3;3;('acc_LR_B', 'acc_NN_B');(0.9996449570330168, 0.9991682496607871);6.118265531496415;4.9716850905068645e-09;yes
4;4;('acc_DT_B', 'acc_RF_B');(0.9997764209256746, 0.9998489371325191);-9.0703197743121;1.185244388304583e-16;yes
5;5;('acc_DT_B', 'acc_SVM_B');(0.9997764209256746, 0.9998518015980703);-9.715228932368632;1.7153090669606297e-18;yes
6;6;('acc_DT_B', 'acc_NN_B');(0.9997764209256746, 0.9991682496607871);7.81752132205466;3.120888368836221e-13;yes
7;7;('acc_RF_B', 'acc_SVM_B');(0.9998489371325191, 0.9998518015980703);-0.435765970058093;0.6634812354213524;no
8;8;('acc_RF_B', 'acc_NN_B');(0.9998489371325191, 0.9991682496607871);8.76196425930068;8.63152971843848e-16;yes
9;9;('acc_SVM_B', 'acc_NN_B');(0.9998518015980703, 0.9991682496607871);8.801546259671102;6.700110149198299e-16;yes
