# packages in environment at C:\Users\kenny\anaconda3:
#
# Name                    Version                   Build  Channel
_anaconda_depends         2024.02             py311_mkl_1  
_libavif_api              1.0.4                h57928b3_2    conda-forge
abseil-cpp                20220623.0           h0e60522_0    conda-forge
aiobotocore               1.2.2              pyhd3eb1b0_0    anaconda
aiohttp                   3.9.3           py311ha68e1ae_1    conda-forge
aioitertools              0.11.0             pyhd8ed1ab_0    conda-forge
aiosignal                 1.3.1              pyhd8ed1ab_0    conda-forge
alabaster                 0.7.16             pyhd8ed1ab_0    conda-forge
altair                    5.3.0              pyhd8ed1ab_0    conda-forge
anaconda-anon-usage       0.4.4           py311hfc23b7f_100  
anaconda-catalogs         0.2.0              pyhd8ed1ab_0    conda-forge
anaconda-client           1.12.3             pyhd8ed1ab_0    conda-forge
anaconda-cloud-auth       0.4.1              pyhd8ed1ab_0    conda-forge
anaconda-navigator        2.5.4           py311haa95532_1  
anaconda-project          0.11.1             pyhd8ed1ab_0    conda-forge
annotated-types           0.6.0              pyhd8ed1ab_0    conda-forge
anyio                     4.3.0              pyhd8ed1ab_0    conda-forge
aom                       3.8.2                h63175ca_0    conda-forge
appdirs                   1.4.4              pyh9f0ad1d_0    conda-forge
archspec                  0.2.3              pyhd8ed1ab_0    conda-forge
argon2-cffi               23.1.0             pyhd8ed1ab_0    conda-forge
argon2-cffi-bindings      21.2.0          py311ha68e1ae_4    conda-forge
arrow                     1.3.0              pyhd8ed1ab_0    conda-forge
arrow-cpp                 11.0.0           h57928b3_5_cpu    conda-forge
astor                     0.8.1              pyh9f0ad1d_0    conda-forge
astroid                   3.0.3           py311h1ea47a8_0    conda-forge
astropy                   6.0.1           py311h59ca53f_0    conda-forge
astropy-iers-data         0.2024.4.1.0.33.14    pyhd8ed1ab_0    conda-forge
asttokens                 2.4.1              pyhd8ed1ab_0    conda-forge
async-lru                 2.0.4              pyhd8ed1ab_0    conda-forge
atomicwrites              1.4.1              pyhd8ed1ab_0    conda-forge
attrs                     23.2.0             pyh71513ae_0    conda-forge
automat                   22.10.0            pyhd8ed1ab_0    conda-forge
autopep8                  2.0.4              pyhd8ed1ab_0    conda-forge
aws-c-auth                0.7.4                hd571b1d_2    conda-forge
aws-c-cal                 0.6.2                hd5965a7_2    conda-forge
aws-c-common              0.9.3                hcfcfb64_0    conda-forge
aws-c-compression         0.2.17               hd5965a7_3    conda-forge
aws-c-event-stream        0.3.2                hef061cf_2    conda-forge
aws-c-http                0.7.13               h064cb6d_2    conda-forge
aws-c-io                  0.13.33              ha16e049_0    conda-forge
aws-c-mqtt                0.9.7                h37bb463_0    conda-forge
aws-c-s3                  0.3.17               h263813f_4    conda-forge
aws-c-sdkutils            0.1.12               hd5965a7_2    conda-forge
aws-checksums             0.1.17               hd5965a7_2    conda-forge
